generation;i;j;delta;beta;integral;pi;fitness
0;10;11;357;0.038968302550713665;279.86089555329283;0.16870682769354395;6947.340298620469
0;6;12;675;0.07738706722983302;395.66629835940057;0.1693524157700745;5914.430617473772
0;3;10;580;0.18302443381514893;210.45425691465377;0.16916740148891443;8134.974414819924
0;4;10;302;0.040533941716782866;281.39860835798163;0.172019319021277;6994.064224943693
0;11;12;317;0.1334876627290052;741.1528190767357;-0.9605293699816241;-17861.3379948394
0;1;9;648;0.06035296469122722;226.29039386420254;0.17203792781557292;7859.8590887012815
0;4;11;92;0.03988372513757892;361.4069980802879;0.038892575508085496;3544.8150867160475
0;7;10;10;0.005939987297623995;372.7672081745327;0.0003811904862122616;2690.2632105907287
0;4;8;476;0.026731574711859565;262.49517964280784;0.17213768115777672;7252.347389261095
0;1;6;56;0.09722902879105787;342.06082770147214;0.10426204865485364;5008.697618862818
0;1;10;330;0.034940831504097304;280.5599295557968;0.1755402820333872;7075.106507093231
0;4;9;648;0.02122251477979602;261.71009429944297;0.17007230448575916;7222.467982954891
0;1;9;476;0.06780825267706102;225.11409639450028;0.17874564868015158;8017.1048043960445
0;1;10;330;0.18112933973353473;215.40919265960542;0.20123368370592126;8667.001086673297
0;1;9;580;0.1871127845721703;210.2800773338652;0.161802972849673;7991.621717950227
0;1;3;330;0.06035296469122722;235.70006520313456;0.19371802379851444;8117.040676920446
0;6;8;476;0.026731574711859565;262.11705908760405;0.16977008856614462;7210.491119116095
0;3;9;115;0.18302443381514893;271.09714936822843;0.1274221403140235;6237.157358722003
0;3;10;416;0.18302443381514893;210.81405272420977;0.20278269488800638;8799.170694091612
0;4;9;436;0.026731574711859565;265.8749026322486;0.16663265767039487;7093.820492256628
0;1;9;191;0.18302443381514893;259.05150256357337;0.16422973968973512;7144.831040656817
0;1;12;330;0.034940831504097304;369.7807840077837;0.16935241577007487;6091.353252942412
1;3;10;457;0.18302443381514893;210.93016057551162;0.17306292314327631;8202.164160142547
1;1;10;330;0.06035296469122722;248.52603968026423;0.18002870079250183;7624.297249385356
1;1;2;330;0.06035296469122722;234.66506028019248;0.20017770966279727;8264.947000544726
1;1;10;330;0.18813589412363368;214.97153430407764;0.20245784390655866;8700.93555774695
1;1;10;416;0.09215259247604629;218.97637037203242;0.17893829816324275;8145.46874631418
1;6;10;330;0.18112933973353473;213.46074716540517;0.17061046004105493;8096.91125156922
1;3;10;54;0.18302443381514893;298.2675072161759;0.1876203375200797;7105.10181709965
1;3;10;330;0.06035296469122722;247.6163828980662;0.17408498689089769;7520.204736138925
1;3;10;679;0.18302443381514893;211.62363571183113;0.1963231793501752;8651.833683951014
1;1;12;580;0.18302443381514893;418.04725665166114;0.16935241577007487;5779.122379012091
1;1;6;580;0.18302443381514893;194.8949270034654;0.1658961302205842;8448.892483285028
2;3;10;330;0.10397022407997587;225.32783939818682;0.17759959543080991;7989.9699350812525
2;1;10;416;0.05656795371423398;234.52304301401853;0.17541983270140443;7772.369981119129
2;1;3;416;0.18813589412363368;187.31580169248434;0.2654357002488597;10647.291909054376
2;1;10;679;0.18302443381514893;212.09202258727152;0.18463287294276176;8407.591984921724
2;1;10;663;0.18112933973353473;210.80521933935788;0.15571639724871064;7858.043509199322
2;3;10;679;0.018103141284107904;266.9493965308715;0.1721210428142894;7188.449178490122
2;1;10;454;0.18813589412363368;211.08816192821106;0.19544779499876835;8646.312987485038
2;3;10;566;0.18112933973353473;211.29423020559545;0.1614979477093761;7962.695853945603
2;1;4;679;0.18302443381514893;194.30599233146972;0.22857574055094448;9718.036480273866
2;3;10;95;0.18112933973353473;276.937285330824;0.17002922054228153;7011.510252071448
3;1;10;598;0.18813589412363368;211.70415635444942;0.17133520583281056;8150.2769421501625
3;1;4;416;0.06472587675248191;221.62008376032037;0.1961402306520431;8435.03104591907
3;1;3;679;0.06962019785940095;212.7291248005743;0.20404680423880184;8781.74985880657
3;1;10;529;0.18813589412363368;211.62017243664852;0.19332413288618347;8591.930087832745
3;3;10;416;0.09425573159995274;218.4323968881987;0.18753911228026193;8328.857724545456
3;1;10;416;0.18814880636452203;210.79919247379192;0.18745200330171802;8492.891255712551
3;7;10;416;0.18302443381514893;265.07634578697764;0.17059823759484913;7184.4628110170015
3;1;9;679;0.18302443381514893;211.79015862705253;0.1890940992860163;8503.536695658615
3;1;10;526;0.18813589412363368;211.83076896440585;0.20591634370005285;8839.076389705413
3;1;10;605;0.18302443381514893;212.21686701335696;0.1904305207637651;8520.771206608913
3;1;4;137;0.18813589412363368;259.38581359831625;0.21309423653939882;8117.145687921877
3;1;6;416;0.18813589412363368;195.15509122570083;0.22593592388264253;9642.848182490936
4;1;6;93;0.18302443381514893;279.22142591441525;0.17235162714579727;7028.41959702587
4;1;3;416;0.0958030467680022;204.3357704933666;0.22434946032521666;9380.894945991406
4;4;6;416;0.18813589412363368;196.33547865271808;0.2119089453719209;9331.50186089615
4;1;4;416;0.027037886338679474;265.0590732255138;0.18099896803864496;7392.723254543304
4;1;4;372;0.18813589412363368;191.33557455690632;0.22796613405460484;9785.742296554581
4;4;6;416;0.18813589412363368;196.33547865271808;0.2119089453719209;9331.50186089615
4;1;3;416;0.11047571371444063;199.86334754947097;0.23152119913538532;9633.842629803446
4;1;6;354;0.18813589412363368;197.18871364979213;0.20963222671415208;9263.92869396372
4;1;4;459;0.18813589412363368;191.4685138299504;0.18650985542292348;8952.987947521091
4;1;6;416;0.018517528277962002;286.3223586198956;0.17577864338884522;7008.139794160534
5;1;4;679;0.11765125437305074;201.34791869978676;0.20854885790047648;9137.50478073116
5;1;11;372;0.18813589412363368;215.87123433929506;0.16846816552836413;8001.75448144581
5;1;6;416;0.17134459855172773;196.7975224360738;0.22156205488911188;9512.605881349737
5;1;3;416;0.11148584803588664;199.57938401915263;0.23200492539031164;9650.63606865989
5;1;6;447;0.18813589412363368;195.21341636750142;0.19949552299888954;9112.50919631381
5;1;4;372;0.17939228132508964;192.32220572808487;0.22560021876207725;9711.611961969476
5;1;12;416;0.18813589412363368;434.1191746812495;0.1693524157700745;5690.563244762181
5;1;4;697;0.18813589412363368;192.08267404992094;0.11756041767585945;7557.299974982783
5;3;4;679;0.18302443381514893;193.61281361970944;0.2136223139010868;9437.393686741187
5;1;4;372;0.07226701672330767;221.635937422031;0.19397549248054805;8391.413522054825
6;1;4;679;0.14776528598067332;197.46083135017182;0.21791374400938732;9422.570382046677
6;1;4;372;0.028193158652045594;273.17504568510503;0.17932222585424518;7247.10099283314
6;3;4;372;0.17939228132508964;190.74351221400138;0.22188302018017186;9680.302674330145
6;1;4;539;0.18813589412363368;195.8000551645327;0.157155438119;8250.359621730833
6;1;6;679;0.18302443381514893;197.21223856348203;0.21976425896617666;9465.96439925492
6;1;4;372;0.088286428938425;213.73302098806172;0.1990437371572248;8659.608966696485
6;2;4;416;0.18813589412363368;193.42976900414462;0.23544575291840317;9878.750110895955
6;1;12;372;0.18813589412363368;437.7973401171103;0.1693524157700745;5671.210205769534
6;1;4;679;0.04390478219552647;229.08445637116904;0.18450387161298884;8055.279750394238
6;1;11;679;0.18813589412363368;216.27842355738179;0.17162523026688553;8056.174334161518
6;1;4;300;0.17939228132508964;197.63752420163033;0.22067198288003587;9473.207553599037
